AccountID,CustomerID,AccountType,Balance,CreatedDate,TotalDeposits,TotalWithdrawals,NetChange,RecalculatedBalance,BalanceMismatch
1,1828,Savings,53911,2019-06-12,14872.54,11640.45,3232.09,3232.09,True
2,3740,Business,39910,2015-07-14,0.0,0.0,0.0,0.0,True
3,1247,Savings,75903,2018-03-23,17033.98,0.0,17033.98,17033.98,True
4,3843,Business,47519,2024-12-14,7579.040000000001,7184.66,394.380000000001,394.380000000001,True
5,4693,Savings,34233,2019-07-26,0.0,0.0,0.0,0.0,True
6,735,Business,62579,2022-08-20,0.0,0.0,0.0,0.0,True
7,2638,Savings,79910,2019-03-19,0.0,3343.52,-3343.52,-3343.52,True
8,3805,Checking,88990,2017-12-17,4021.37,10117.61,-6096.240000000001,-6096.240000000001,True
9,2898,Business,93376,2021-03-07,8052.68,0.0,8052.68,8052.68,True
10,591,Savings,31150,2018-10-26,10359.75,0.0,10359.75,10359.75,True
11,815,Savings,69518,2018-10-16,0.0,9972.81,-9972.81,-9972.81,True
12,1334,Savings,38321,2022-05-05,0.0,7607.92,-7607.92,-7607.92,True
13,1264,Business,66292,2025-04-21,8269.880000000001,12183.7,-3913.8199999999997,-3913.8199999999997,True
14,2418,Business,49267,2016-10-03,4855.03,959.52,3895.5099999999998,3895.5099999999998,True
15,2505,Savings,73011,2019-09-27,14158.349999999999,0.0,14158.349999999999,14158.349999999999,True
16,2172,Checking,14786,2025-02-06,3702.22,1076.27,2625.95,2625.95,True
17,154,Business,32681,2016-05-31,2700.04,10624.210000000001,-7924.170000000001,-7924.170000000001,True
18,2191,Savings,20891,2020-10-17,0.0,8146.25,-8146.25,-8146.25,True
19,4110,Business,51838,2015-06-20,8673.970000000001,0.0,8673.970000000001,8673.970000000001,True
20,4178,Savings,13456,2021-12-24,4736.56,488.89,4247.67,4247.67,True
21,2926,Savings,48497,2025-02-22,14369.400000000001,0.0,14369.400000000001,14369.400000000001,True
22,4447,Savings,55888,2016-12-27,6621.5,5175.91,1445.5900000000001,1445.5900000000001,True
23,3336,Checking,78906,2024-07-15,2404.77,3544.94,-1140.17,-1140.17,True
24,3642,Checking,65972,2022-01-26,18429.25,14362.39,4066.8600000000006,4066.8600000000006,True
25,2133,Savings,77627,2016-09-14,0.0,0.0,0.0,0.0,True
26,737,Savings,91584,2017-09-21,2076.77,0.0,2076.77,2076.77,True
27,3409,Checking,32876,2016-12-15,11276.69,0.0,11276.69,11276.69,True
28,92,Business,64283,2024-11-11,6549.91,4218.0,2331.91,2331.91,True
29,3118,Savings,82816,2022-12-29,7763.49,0.0,7763.49,7763.49,True
30,1815,Savings,52916,2024-05-18,9640.15,13344.349999999999,-3704.199999999999,-3704.199999999999,True
31,3422,Business,8582,2024-08-13,0.0,2737.39,-2737.39,-2737.39,True
32,4173,Checking,26643,2021-07-19,0.0,0.0,0.0,0.0,True
33,1180,Checking,98603,2023-12-04,7151.3,909.37,6241.93,6241.93,True
34,2428,Business,52910,2019-04-08,8407.43,0.0,8407.43,8407.43,True
35,1513,Savings,3091,2016-12-05,21874.48,0.0,21874.48,21874.48,True
36,3267,Savings,76623,2018-02-19,9822.59,0.0,9822.59,9822.59,True
37,1185,Savings,74153,2018-11-08,0.0,3260.48,-3260.48,-3260.48,True
38,930,Savings,51086,2017-11-29,9088.34,8835.43,252.90999999999985,252.90999999999985,True
39,4799,Business,37573,2020-03-09,7736.45,7077.79,658.6599999999999,658.6599999999999,True
40,3948,Savings,50182,2019-03-20,0.0,24383.83,-24383.83,-24383.83,True
41,2975,Savings,37538,2023-08-08,3026.36,10183.68,-7157.32,-7157.32,True
42,858,Business,93387,2018-09-10,0.0,14613.16,-14613.16,-14613.16,True
43,3788,Business,10693,2020-04-15,0.0,14619.05,-14619.05,-14619.05,True
44,473,Checking,23037,2022-11-08,0.0,0.0,0.0,0.0,True
45,4302,Business,82004,2020-03-21,6488.35,11233.48,-4745.129999999999,-4745.129999999999,True
46,3800,Business,82846,2019-03-11,0.0,0.0,0.0,0.0,True
47,3463,Checking,93773,2017-04-19,22697.61,3930.21,18767.4,18767.4,True
48,1412,Checking,54748,2018-06-06,8414.46,0.0,8414.46,8414.46,True
49,3599,Checking,1298,2023-06-27,2660.16,0.0,2660.16,2660.16,True
50,2870,Business,44015,2023-05-31,8371.55,1637.85,6733.699999999999,6733.699999999999,True
51,1719,Business,52535,2018-11-16,0.0,0.0,0.0,0.0,True
52,2201,Savings,56364,2016-12-21,5736.46,0.0,5736.46,5736.46,True
53,4512,Business,85891,2016-11-27,0.0,8714.89,-8714.89,-8714.89,True
54,2287,Checking,10429,2022-06-10,8831.93,2545.54,6286.39,6286.39,True
55,1830,Checking,2852,2023-01-03,3125.22,0.0,3125.22,3125.22,True
56,274,Savings,27834,2020-09-11,3001.16,0.0,3001.16,3001.16,True
57,3525,Savings,55261,2016-07-06,1919.1,0.0,1919.1,1919.1,True
58,3251,Checking,48166,2020-01-05,4375.65,0.0,4375.65,4375.65,True
59,3602,Savings,38966,2021-09-11,8524.9,0.0,8524.9,8524.9,True
60,442,Business,64603,2022-01-04,2375.2,4377.61,-2002.4099999999999,-2002.4099999999999,True
61,351,Savings,78731,2018-10-31,0.0,10454.67,-10454.67,-10454.67,True
62,3172,Business,87619,2017-01-15,6178.22,4273.36,1904.8600000000006,1904.8600000000006,True
63,1621,Savings,37472,2019-07-30,7787.89,3702.06,4085.8300000000004,4085.8300000000004,True
64,1808,Checking,22252,2024-10-28,0.0,8761.11,-8761.11,-8761.11,True
65,3586,Business,15754,2021-04-04,0.0,3612.26,-3612.26,-3612.26,True
66,1030,Business,71514,2023-05-11,4905.95,8457.87,-3551.920000000001,-3551.920000000001,True
